brand,name,old_price_reais,old_price_centavos,new_price_reais,new_price_centavos,reviews_rating_number,reviews_amount
FILA,Tênis Fila Clip Masculino Original,307,99,278,95,,
OLYMPIKUS,Tênis Msculino Olimpicos Original Calçe Facil Ultra Leve,249,90,237,40,,
OLYMPIKUS,Tênis Olympikus Challenger 5 Corrida,310,,31,,,
,Tênis Confortável Treino Academia Ecotênis Corrida Conforto,58,90,5,73,,
OLYMPIKUS,Tênis Original Olympikus Challenger 5 Corrida Leve Masculino,299,99,254,99,,
OLYMPIKUS,Tênis Olympikus Beats Masculino Confortável Estiloso,299,99,29,08,,
OLYMPIKUS,Tênis Olympikus Challenger 5 Caminhada Corrida Original,299,99,33,33,,
MIZUNO,Tenis Mizuno Ref:101118118 34/44 Action 4 Jogging Mesh,419,90,41,99,,
OLYMPIKUS,Tênis Esportivo Olympikus Reverso 2 Macio Leve Confortável ,379,99,36,84,,
OLYMPIKUS,Tênis Olympikus Reverso 2 Cano Baixo Versatil Calce Facil,379,99,36,84,,
OLYMPIKUS,Tênis Olympikus Reverso 2 Tecnologia Gripper E Hypersox Nfe,379,99,36,84,,
FILA,Tênis Fila Progress Lite Azul Marinho Branco Unissex ,289,90,28,11,,
,Tênis Ecotênis Resistente Trabalho Conforto Extra Leve,68,90,22,97,,
FILA,Tênis Fila Efecto Vermelho Azul Marinho Masculino ,279,90,27,14,,
OLYMPIKUS,Tênis Olympikus Corrida Caminhada Macio Leve Resistente ,349,99,33,93,,
OLYMPIKUS,Tênis Olympikus Subverse Preto Corrida Envio Já - Masculino,349,99,33,93,,
FILA,Tênis Fila Float Maxxi 2 Masculino Preto E Vermelho,736,84,699,99,,
OLYMPIKUS,Tênis Olympikus Inverse - Masculino 25154,399,99,40,,,
MIZUNO,Tênis Mizuno Bold - Masculino 25158,399,99,40,,,
MIZUNO,Tênis Mizuno Action 3 - Masculino 25159,399,99,40,,,
OLYMPIKUS,Tênis Olympikus Lançamento Dia A Dia Casual Masculino,299,99,29,08,,
OLYMPIKUS,Tênis Olympikus Challenger 5 Academia Corrida Treino Cross,299,99,29,08,,
OLYMPIKUS,Tênis Olympikus Beats Para Treino Academia Caminhada Corrida,299,99,29,08,,
OLYMPIKUS,Tênis Olympikus Dynamic Esportivo Academia Macio Original,289,99,275,49,,
MIZUNO,Mizuno Wave Mirai 6 Masculino Adultos,529,32,497,56,4.6,(28)
,Kit 2 Tênis Masculino Ferrari New Scuderia Confort Qualidade,299,99,176,99,,
,Sapatênis Masculino Em Couro Legitimo Kit Com Relógio Tenis,149,90,90,75,4.2,(157)
KALENJI,Tênis De Corrida Masculino Run Active Grip,317,39,30,77,,
FILA,Tênis Prisma Masculino Fila Running Corrida Cross Treino,322,90,31,31,,
,Tenis Casual Knu Skool Black White Preto E Branco Lançamento,267,90,160,74,,
OLYMPIKUS,Tênis Olympikus Dynamic Esportivo Academia Macio Original,279,99,265,99,,
ASICS,Tênis Asics Gel Shogun 5 Masculino Marinho,499,90,49,,,
OLYMPIKUS,Tênis Olympikus Dynamic Steel Esportivo Academia Original,279,99,260,39,,
ASCENSION,Tênis Esportivo Ortopédico Para Academia Treino Dia A Dia,144,90,127,51,4.5,(476)
ASICS,Tênis Asics Original Moda Gel Couro Academia Macio Unissex,333,33,99,99,,
,Kit Tênis P/ Academia Treino Masculino Ultra Leve + Relógio,69,90,59,41,,
OLYMPIKUS,Tênis Esportivo Masculino Dia A Dia Corrida Olympikus Fluir,199,90,33,32,,
OLYMPIKUS,Tênis Olympikus Fluir Leve Caminhada Treino Corrida Academia,189,90,18,46,,
ASICS,Tênis Masculino Asics Gel-shogun 6 Preto,349,90,33,92,,
OLYMPIKUS,Tênis Olympikus Reverso 2 Castanho - Masculino,379,99,38,,,
OLYMPIKUS,Tenis Olympikus Titanium 43281293-arenit,399,35,38,72,,
BBS,Tênis Para Corridas Para Passeios Tênis Super Versátil,88,90,8,64,,
OLYMPIKUS,Tênis Olympikus Veloz 3 Esportivo Masculino Original,315,80,289,10,,
PROSPECT,Tênis Masculino Prospect Fly Academia Esporte Corrida Leve,69,90,44,73,4.0,(55)
OUSY SHOES,Kit Tênis Masculino Caminhada 3 Pares Easy Confortável Combo,229,90,172,42,4.5,(8520)
OLYMPIKUS,Tenis Olympikus Hybrid 43262313-mrho,359,35,34,84,,
FILA,Tênis Fila Prisma Masculino Marinho E Laranja Original,417,98,300,94,,
ASICS,Tênis Asics Versablast 2 Se Masculino,399,90,39,,,
,Kit Tênis Masculino Academia Corrida Treino Leve + Relógio,149,90,142,40,,
OLYMPIKUS,Tênis Olimpicos Masculino Todo Preto Uniforme Escola Militar,195,90,186,10,,
OLYMPIKUS,Tenis Olympikus Veloz 3 43502346-creme,299,35,29,02,,
OLYMPIKUS,Tenis Olympikus Clic 43303329-ptopt,249,35,24,24,,
ASICS,Tênis Asics Corrida Trilha Macio Leve Confortável Resistente,999,99,100,,,
OLYMPIKUS,Olympikus Treino Beats Masculino Adultos,299,17,248,12,4.8,(57)
OLYMPIKUS,Tênis Olympikus Subverse Preto - Masculino,349,99,35,,,
OLYMPIKUS,Tênis Olympikus Dynamic Steel Esportivo Academia Original,279,99,260,39,,
OLYMPIKUS,Tênis Olympikus Masculino Lançamento Original Macio Leve,499,99,48,47,,
FILA,Tênis Fila Float Maxxi 2 Masculino Azul Treino Corrida,679,90,65,92,,
PUMA,Tênis Puma St Runner V4 Mesh Marinho E Branco Original,439,98,322,66,,
,Kit Tênis De Academia Masculino Conforto Leve + Relógio,69,90,59,41,,
OLYMPIKUS,Kit Tênis Olympikus Veloz 3 Masculino E Meia,329,98,302,33,,
OLYMPIKUS,Tênis Olympikus Reverso 2 Corrida Macio Leve Resistente,379,99,36,84,,
,Tenis Unissex Para Academia Crossfit Onimports,77,90,74,19,,
EVOLTENN,Kit 3 Pares Tênis  Academia Corrida Macio Leve Combo Barato,199,90,33,32,,
ACTVITTA,Tênis Actvitta Masculino Casual Calce Fácil Preto - 4901.231,179,57,148,14,,
OLYMPIKUS,Tênis Olympikus Challenger 5 Corrida - Masculino,299,99,254,99,,
OLYMPIKUS,Tênis Olympikus Challenger 5 Cano Baixo Calce Facil Novo,299,99,254,99,,
OLYMPIKUS,Tênis Olympikus Challenger 5 Original Ultra Leve Moderno Nfe,299,99,29,08,,
OLYMPIKUS,Tênis Masculino Urbano Ast 43475199 - Olympikus,273,97,260,27,,
OLYMPIKUS,Tenis Olympikus Veloz Masculino Eleva+ Gripper Original,309,95,269,65,,
FILA,Tênis Fila Fulltime Masculino Preto E Cinza Original,307,98,219,45,,
OLYMPIKUS,Tênis Olympikus Bloco Unissex Bege E Preto Original,285,98,214,19,,
MIZUNO,Tênis Mizuno Hawk 5 Preto Vermelho,349,99,33,93,,
OLYMPIKUS,Tênis Olympikus Reverso 2 Tecido Knit Bicolor Flexivel Nfe,379,99,36,84,,
OLYMPIKUS,Tênis Esportivo Olympikus Reverso 2 Resistente Confortavel,379,99,36,84,,
OLYMPIKUS,Tênis Academia Treino Olympikus Cyber 4 Antiderrapante,299,99,33,33,,
RABUTSS,Tênis Masculino Macio Casual Academia Dia Dia Treino Esporte,165,90,33,18,,
OLDSEN,Kit 3 Tenis Masculino Esportivo Corrida Caminhada Unissex,259,90,25,20,,
,Kit Tênis Masculino Esportivo + Chinelo + Relógio E Carteira,139,90,125,91,,
MIZUNO,Tênis Mizuno Wave Invictus 3 Masculino Marinho Cinza,1.029,85,99,,,
,Kit Tênis Academia Caminhada Unissex + Meia Lupo + Relógio,124,90,112,41,,
OLDSEN,Tenis Masculino Unissex Botinha Corrida Academia Promoção,78,90,74,95,4.4,(1351)
OLYMPIKUS,Tênis Masculino Olimp Para Corrida E Caminhada Macio E Leve,279,99,229,59,5.0,(45)
,Tenis Olimp Esportivo Masculino Feminino Leve E Macio,78,90,7,67,4.1,(8471)
VIA LIVRE,Tênis Adulto Masculino Advanced Sport Solado Eva Leve ,155,32,31,06,,
OLYMPIKUS,Tênis Olympikus Reverso 2 Azul Leve Envio Já - Masculino,379,99,36,84,,
OLYMPIKUS,Tênis Corrida Olympikus Challenger 5 Adulto,339,79,33,98,,
OLYMPIKUS,Tênis Olympikus Soma Unissex Preto E Verde Cod: 16827,209,99,188,99,,
FILA,Tênis Fila Float Maxxi 2 Masculino Preto Vermelho Treino,679,90,65,92,,
FILA,Tênis Fila Masculino Fulltime Original,307,98,215,45,,
,Tenis Masculino Academia Corrida Caminhada Leve Barato,69,90,59,41,4.6,(951)
PROSPECT,Kit 3 Tênis Masculino Prospect Speed Academia Leve + Relógio,219,90,138,53,4.3,(64)
EVOLTENN,Kit 3 Pares Tênis Esportivo Masculino Evoltenn Style Corrida,188,90,179,45,4.4,(1942)
OLYMPIKUS,Tênis Masculino Olympikus Orbita Amortecedor Macio Corrida,224,90,206,91,,
OLYMPIKUS,Tênis Olympikus Bloco Masculino Original,285,98,210,19,,
,Tênis Academia Esportes Corrida Confortável Leve Unissex,129,87,79,22,,
,2 Tênis Academia Esportes Kit Corrida Macio Leve Unissex,199,87,169,88,,
OLYMPIKUS,Tênis Masculino Olympikus Giro Super Macio Caminhada Corrida,385,50,269,69,,
OLYMPIKUS,Tênis Meia Masculino Knit Calce Fácil Confortável Olympikus,279,90,31,10,,
DIX,Tênis Para Academia Masculino Malhar Corrida Promoção,78,90,61,54,4.5,(2585)
,Tênis Masculino Mercedes Petronas Mapf1 Amg Corrida Promoção,159,99,95,99,,
,Tenis Masculino Original Para Caminhada E Academia + Relogio,79,90,39,95,4.4,(47)
ON RUNNING,Tênis On Running Cloudflash Masculino,699,90,69,,,
FILA,Tênis Fila Maxximus Masculino Preto Treino Academia,499,90,48,47,,
OLYMPIKUS,Tênis Olympikus Unissex Reverso 2 Versátil Corrida Treino,379,90,36,83,,
,Tênis De Corrida Masculino Confortável Macio Esportivo,199,90,189,90,,
FREE JUMP,Tênis Esporte Academia Corrida Caminhada Confortável Leve,119,90,89,92,,
ADRUN,Tênis Masculino Adrun Flex Go Esportivo Preto E Grafite,179,99,17,50,,
HOST,Tênis De Corrida Host Masculino Confortável Macio P Academia,149,99,37,50,,
MIZUNO,Tênis Mizuno Wave Zest 2 - Masculino - Preto-cinza,449,90,44,99,,
OLDSEN,Kit 2 Tênis Masculino Esporte Academia Caminhada Crossfit,199,90,19,43,,
,Tênis Masculino Corrida Esportivo Calce Fácil Academia Nl452,88,90,29,63,,
FILA,Tenis Fila Venture Tracer Masculino F01at00065-6148,399,44,38,73,,
OLYMPIKUS,Tênis Masculino Olympikus Para Caminhada Zex,299,90,33,32,,
,Tênis Masculino De Nylon Actvitta Original,169,90,33,98,,
FILA,Tênis Fila Masculino Maxximus,722,90,506,03,,
FILA,Tenis Fila Efecto Masculino-vermelho/marinho/branco,279,99,223,99,,
OLYMPIKUS,Tênis Olympikus Reverso 2 Corrida Caminhada Treino Cross Fit,379,99,38,,,
LYND,Tênis Lynd Esportivo Masculino 664 Y98 Caminhada Original,239,99,23,33,,
,Tenis Masculino Preto Academia Caminhada Esportivo Treino,70,63,23,54,,
DK SHOES,Tenis Masculino Basico Estiloso Street Casual Preto Branco,83,02,62,27,,
ULTRABONE,Kit 2 Pares Tênis Unissex Esportivo Ultra Academia +relógio,159,87,15,54,,
,Tênis Masculino Academia Corrida Treino Flexível Confortável,129,90,123,40,,
ASICS,Tênis Asics Gel-quantum 180 Fly Masculino Original,669,90,66,99,,
OLYMPIKUS,Tênis Original Olympikus Reverso 2 Azul - Masculino,379,99,38,,,
BOX200,Tênis Caminhada Palmilha Macia Masculino Box200 Bx2416,83,10,8,08,,
FILA,Tênis Fila Safe Masculino Preto E Branco Original,329,98,228,31,,
,Tênis Masculino Bmw Motorsport Casual Esportivo Promoção 3l,159,99,95,99,,
OLYMPIKUS,Tênis Olympikus Challenger 5 Design Moderno Versatil Novo,299,99,33,33,,
,Tênis Coca Cola March Limited Leather Branco Masculino,169,90,16,51,,
OLYMPIKUS,Tênis Olympikus Veloz 3 Unissex Preto E Branco Original,329,98,241,08,,
,Tênis Esportivo Unissex Keep Moving Corrida Academia Macio,149,90,37,48,,
ASICS,Tênis Asics Gel Nimbus 26 Platinum Azul Marinho - Masculino,1.299,90,129,,,
OLYMPIKUS,Tênis Olympikus Beats Branco - Masculino,299,99,33,33,,
,Tênis Masculino Ecotênis Trabalho Extra Leve Treino Academia,67,90,22,63,,
FILA,Tênis Fila Progress Lite Masculino Preto Academia Treino,262,90,25,49,,
FILA,Tênis Fila Masculino Street Fit 2 Original Lançamento,414,98,331,98,,
OLYMPIKUS,Olympikus CORRIDA Voa 2 Masculino Adultos,299,99,208,99,4.8,(584)
PROSPECT,Kit 3 Tênis Masculino Prospect Speed Academia Leve + Relógio,219,90,138,53,4.3,(64)
OLYMPIKUS,Tênis Olympikus Veloz 3 Esportivo Masculino Original,315,80,289,10,,
OLDSEN,Tenis Masculino Unissex Botinha Corrida Academia Promoção,78,90,74,95,4.4,(1351)
OLYMPIKUS,Olympikus CORRIDA Voa 2 Masculino Adultos,299,99,208,99,4.8,(584)
,Kit Tênis De Academia Corrida Super Leve + Relógio Digital,69,90,62,91,,
ULTRABONE,Kit 2 Pares Tênis Unissex Esportivo Academia Ortopédico Maci,154,87,15,05,,
,Tênis Masculino Leve Esportivo Sapato Confortável Promoção,49,33,16,,,
REEBOK,Tênis Reebok Nanoflex Tr V2 Homem,599,90,395,93,,
UNDER ARMOUR,Tênis Under Armour Slight 3,359,99,323,99,,
DIX,Tênis Para Academia Masculino Malhar Corrida Promoção,78,90,61,54,4.5,(2585)
,Tênis Masculino Mercedes Petronas Mapf1 Amg Corrida Promoção,159,99,95,99,,
,Tenis Masculino Original Para Caminhada E Academia + Relogio,79,90,39,95,4.4,(47)
FILA,Tenis Fila Float Maxxi 2 Masculino-marinho/azul/verde Claro,639,99,511,99,,
OLYMPIKUS,Tenis Olympikus Masculino Reverso/133 Academia Caminhada,422,21,40,93,,
,Tenis Actvitta Casual Caminhada Confortavel Masculino,169,90,33,98,,
FILA,Tênis Fila Racer Comet Masculino Original,349,90,34,99,,
,Sapatenis Masculino Calce Facil Trabalho Casual Confort Way ,99,99,33,33,,
ASCENSION,Tênis Masculino Confortável Anti-impacto Esportes Corrida ,109,90,10,68,,
OLYMPIKUS,Tênis Masculino Corrida Olimpicos Marte Solado Evasense Leve,195,90,19,04,,
XSMART®,Tênis Academia Esporte Corrida Fitness,89,90,29,97,,
,Tênis Esportivo Masculino Meia Fitness Academia Corrida,79,33,26,,,
OLYMPIKUS,Tênis Olympikus Reverso 2 Creme E Azul - Masculino,379,99,38,,,
FILA,Tenis Fila Float Maxxi 2 Masculino Laranja/prata/branco,639,99,511,99,,
OLYMPIKUS,Tênis Olympikus Venum Tecnologia Evasense E Covergrid,229,99,22,36,,
OLYMPIKUS,Tênis Olympikus Dynamic Steel Esportivo Academia Original,279,99,265,99,,
MIZUNO,Tênis Mizuno Wave Vitality 6 Treino Masculino,449,90,44,99,,
OLYMPIKUS,Olympikus Challenger 5 Cinza Branco Adulto.,299,99,284,99,,
ASICS,Tênis Asics Gel-shogun 7 - Masculino 25008,539,99,54,,,
OLYMPIKUS,Tenis Masculino Olympikus  Veloz 3 43502346 Laranja,299,90,33,32,,
OLYMPIKUS,Tênis Olympikus Diffuse 5 Masculino - Preto E Vermelho,299,99,269,99,,
FILA,Tênis Fila Athlon Masculino Esportivo 2024 - Original,284,90,256,41,,
NEW BALANCE,Tênis Masculino Original New Balance 997s Sport Novas Cores,229,99,209,29,,
OLYMPIKUS,Tênis Olympikus Com Amortecimento Para Corrida Voa,299,90,33,32,,
,Tenis Masculino Moderno Casual Promoção Top Esporte Academia,59,90,5,82,,
NEW BALANCE,New Balance 997s Masculino Adultos,196,90,183,11,4.5,(11)
OLLIE,Tênis Masculino Ollie Virtus Academia Corrida Macio Branco,169,99,151,29,,
,Tênis Masculino Olymp Olimp Space Caminhada Barato Promoção,78,90,71,01,4.2,(2815)
XSMART®,Tênis Casual Air Ds Leve E Confortável Promoção,89,90,29,97,,
ADIDAS,Tênis adidas Lite Racer 4.0 - Original,299,99,284,99,,
,Tênis Tamanho Especial Masculino Academia Macio Caminhada,149,90,112,42,,
OLYMPIKUS,Olympikus Diffuse 5 Masculino Adultos,299,99,269,79,4.8,(504)
FILA,Tênis Masculino Street Fit 2 Fila,445,90,356,72,,
OLYMPIKUS,Tênis Olympikus Venum Tecnologia Evasense Com Amortecedor,229,99,190,89,,
OLYMPIKUS,Tênis Olympikus Reverso 2 Reforçado Antiderrapante Novo,379,99,322,99,,
FILA,Tênis Fila Efecto Masculino Vermelho Azul Marinho,289,90,32,21,,
,Tenis Masculino Academia Preto Caminhada Esportivo Promoção,70,63,23,54,,
OLYMPIKUS,Tênis Olympikus Diffuse 5 Masculino - Preto E Vermelho,299,99,269,99,,
OLYMPIKUS,Tenis Olympikus Hybrid 43262313-castor,359,35,34,84,,
FILA,Tênis Fila Efecto Vermelho Azul Marinho Masculino ,279,90,27,14,,
FILA,Tênis Fila Ride Masculino - Azul Marinho E Verde Lima,259,38,32,,,
,Tênis Esportivo Masculino Feminino Academia Corrida Casual,49,90,16,63,,
XSMART®,Tênis Casual Air Ds Leve E Confortável Promoção,89,90,29,97,,
PROSPECT,Tenis Masculino Barato Corrida Academia Caminhada Leve,69,90,23,30,,
,Tênis Masculino Esportivo Corrida Academia Confortável Nl434,92,90,9,03,,
BOX200,Tênis Masculino Tamanho Especial Esporte Caminhada Box 200,89,90,76,41,4.5,(744)
,Tenis Esporte Academia Corrida Caminhada Confortável Leve,69,90,6,79,4.5,(662)
,Tenis Masculino Confortavel Leve Academia Promoçao Original,99,90,84,90,4.5,(243)
OLYMPIKUS,Tênis Olympikus Dynamic Steel Esportivo Academia Original,279,99,257,59,,
MIZUNO,Tênis Mizuno Wave Vitality 6,439,56,42,,,
NEW BALANCE,Tênis New Balance 520v8 Unissex Azul Preto Corrida,369,90,332,91,,
OLYMPIKUS,Tênis Olympikus Beats Masculino Lançamento Original Macio,299,99,33,33,,
MIZUNO,Mizuno Wave Mirai 6 Masculino Adultos,529,32,497,56,4.6,(28)
OLYMPIKUS,Tênis Olympikus Challenger 5 Cinza - Masculino,299,99,254,99,,
,Tenis Para Caminhada Academia Corrida Treino - Leve E Macio,64,90,6,31,4.5,(467)
OLDSEN,Tênis Masculino Jaguar Oldsen Treino Corrida Promoção Top,78,97,7,68,4.4,(3053)
TRYD,Tênis Para Treino Academia Caminhada Corrida Tryd 5400 Leve,99,99,67,99,4.5,(11164)
,Tênis Masculino Esportivo Corrida Academia Confortável Nl434,77,90,25,97,,
OLYMPIKUS,Tênis De Corrida Olympikus Veloz 3 Unissex Original,299,90,269,91,,
OLYMPIKUS,Tênis Olympikus Reverso 2 Azul Caminhada Corrida - Masculino,379,99,38,,,
FILA,Tênis Fila Safe Masculino Marinho E Verde Original,329,98,228,31,,
PUMA,Tênis Puma Runner City Bdp Masculino,444,70,44,47,,
,Kit 2 Tênis Masculino Casual Sola Reta Básico Leve + Relógio,159,90,31,98,,
OLIMPAK,Tênis Masculino Olimpak Para Academia Caminhada Original,109,29,103,82,4.5,(2417)
OLDSEN,Tenis Corrida Casual Insanity Leve Confortável Macio 34-43,63,90,6,21,4.5,(328)
GENÉRICA,Tênis Masculino Esportivo Caminhada Corrida Academia,79,90,26,63,,
NEW BALANCE,Tênis New Balance 520v8 Unissex Azul Marinho,379,90,341,91,,
BOX200,Tênis Masculino Esportivo Box200 Running Preto Conforto,89,99,30,,,
,Tênis Meia Unissex Sem Cadarço Calce Fácil Macio Promoção,47,67,15,,,
OLYMPIKUS,Tenis Olympikus Veloz 3 43502346-lranja,299,44,29,03,,
OLYMPIKUS,Tênis Olympikus Fluir Leve Caminhada Treino Corrida Academia,199,90,33,32,,
OLYMPIKUS,Tênis Olympikus Beats Masculino Qualidade Macio Leve Nf,299,99,29,08,,
RAINHA,Tênis Rainha Drive Unissex Corrida Treino Academia Original,199,99,159,99,5.0,(1)
OLYMPIKUS,Tênis Olympikus Corrida Caminhada Macio Leve Confortável,379,99,36,84,,
OLYMPIKUS,Tênis Olympikus Cyber 4 Masculino Confortável Leve 43285288,249,99,224,99,,
LYND,Tênis Masculino Lynd Gravit Flux 2,229,90,32,84,,
,Tênis Meia Masculino E Feminino Leve Lançamento,49,79,16,60,,
OLYMPIKUS,Tênis Olympikus Rayo,299,99,194,99,,
MORMAII,Tênis Mormaii Soul - 204022-08,158,86,31,77,,
MIZUNO,Tênis Mizuno Victory Rsp Masculino,474,70,47,47,,
FILA,Tênis Fila Racer Comet Masculino Marinho,349,90,34,99,,
,Tênis Masculino E Feminino Olk Caminhada Academia Corrida,198,97,115,40,,
NEW BALANCE,Tênis New Balance Arishi V4+ 2024 Masculino,478,90,47,89,,
TRYD,Tênis Para Treino Academia Caminhada Corrida Tryd 5400 Leve,99,99,67,99,4.5,(11164)
AS,Tênis Gel Academia Corrida Leve E Macio Frete Gratis Promoç,105,31,35,10,,
FILA,Tênis Fila Masculino Street Fit 2 Original Lançamento,414,98,40,23,,
FILA,Tênis Fila Racer Sky Preto E Cinza Masculino Original,384,99,260,46,,
OLYMPIKUS,Tênis Masculino Olimpicos Macio Eleva+ Escola Militar Macio,195,90,186,10,,
ASICS,Kit 2 Pares Tenis Asics Gel Sendai Macio E Confortável,499,94,199,97,,
SCHIARELI,Tênis Esportivo Academia Trilha Corrida Trabalho Modelo 595,118,99,113,04,,
FILA,Tenis Fila Venture Tracer Masculino F01at00065-589,399,44,38,73,,
FILA,Tênis Fila Masculino Racer Carbon 2,1.543,90,1.080,78,,
FILA,Tênis Fila Prisma Masculino Original,417,98,279,75,,
,Tênis Esportivo Masculino Sneaker Solado Confortável  Leve,79,33,26,,,
OLYMPIKUS,Tênis Olympikus Volcan 2 Masculino 38/43,199,99,179,99,,
,Tenis Masculino Air Original Caminhada Corrida Confortavel,78,,26,,,
OLYMPIKUS,Tênis Olympikus Venum Original Lançamento Com Envio Imediato,229,99,172,49,,
ASICS,Tênis Asics Original Casual Gel Couro Academia Macio Barato,299,90,98,96,,
NB,Tênis Nb Sport 997s Masculino Original Têxtil Importado,239,88,196,70,,
OLYMPIKUS,Tênis Olympikus Veloz 3 Corrida Unissex Esportivo Leve,299,90,33,32,,
,Tênis Casual Masculino Academia Treino Corrida Confortável,78,90,63,90,,
OLYMPIKUS,Tênis Original Olympikus Reverso 2 Corrida - Masculino,379,99,38,,,
GENÉRICA,Tênis Masculino Esportivo Caminhada Corrida Academia,79,90,26,63,,
,Tenis Masculino Feminino Academia Leve Macio Confortável,78,99,71,09,4.5,(2214)
,Tenis Masculino Para Academia #promoção,77,90,58,42,4.6,(733)
OLYMPIKUS,Tênis Olympikus Reverso 2 Azul Caminhada Corrida - Masculino,379,99,330,59,,
,Tenis Olimp Esportivo Masculino Feminino Leve E Macio,78,90,7,67,4.1,(8471)
OLYMPIKUS,Tênis Olympikus Reverso 2 Azul Leve Envio Já - Masculino,379,99,300,19,,
,Tênis Preto Esportivo Academia Corrida Tamanho Grande Treino,78,90,67,06,,
FILA,Tenis Fila Racer T2 S Masculino Corrida Running Triathlon,449,90,395,91,,
,Kit Tênis Academia Tenaz Sports + Garrafa Térmica Digital,77,67,25,,,
ASCENSION,Tenis Masculino Corrida Leve Academia Esportivo,129,90,12,63,,
VELOCE,Tênis Masculino Esporte Veloce Caminhada Macio Corrida Black,99,83,33,28,,
LEVE STAR,Tenis Masculino Esportivo Caminhada Academia Corrida Malhar.,78,99,57,95,4.3,(954)
OLYMPIKUS,Tênis Olympikus Masculino Color Adulto Original Veloz 3 Br,299,99,29,08,,
OUSY SHOES,Tênis Ousy Masculino Treino Alta Performance Design Moderno,98,90,9,61,,
MIZUNO,Mizuno Prophecy 12s Camaleão Refletivo Importado Vietnã,349,90,34,99,,
OLYMPIKUS,Tênis Corrida Olympikus Challenger 5 Conforto Amortecimento,327,90,32,79,,
LORENZZO LOPEZ,Kit 3 Tênis Masculino Academia E Corrida Super Macio,199,90,139,93,,
UNDER ARMOUR,Tênis Under Armour Charged Great Unissex Branco Cinza,298,90,269,01,,
,Tênis Cross Tryd 5400 Academia Caminhada Confortável Leve,99,99,68,99,4.5,(1859)
FILA,Tênis Fila Efecto Masculino Vermelho Azul Marinho,289,90,32,21,,
FREE JUMP,Tênis Esporte Academia Corrida Caminhada Confortável Leve,119,90,89,92,,
OLYMPIKUS,Tênis Olympikus Venum Treino Academia Cross Fit Caminhada,229,99,174,79,,
GENERICÁ,Tenis Masculino Olimp Esportivo Barato Promoção Aproveite,59,90,5,82,,
OLYMPIKUS,Tênis Olympikus Subverse,349,99,35,,,
UNDER ARMOUR,Tênis Under Armour Slight 3,359,99,269,99,,
SAPATOFRAN,Tenis Esportivo Masculino Academia Esporte + Relógio Slim,79,90,26,63,,
DM DAMANDO,Tenis Masculino Confortavel/academia/crossfit + Relógio,77,90,74,67,4.5,(5737)
FILA,Tênis Fila Maxximus Masculino Running,455,11,44,,,
,Kit Tênis Ortopédico Masculino Original Calce Fácil,229,90,193,80,,
,Combo 2 Tenis Masculino Moderno Casual Promoção Top Esporte,115,11,11,19,,
UNDER ARMOUR,Tênis Under Armour Charged Great Unissex Branco Corrida,289,90,260,91,,
GENÉRICA,Kit 2 Tênis Esportivo Masculino Caminhada Corrida Academia,129,90,32,48,,
